provinsi,kejadian_bencana,meninggal,luka,terdampak,rusak_berat,rusak_sedang,rusak_ringan,terendam,pendidikan,ibadah,kesehatan
aceh,236,11,7,357629,163,311,1215,29244,4,17,0
sumatra utara,217,29,138,167202,177,132,504,32091,12,3,3
sumatra barat,136,35,5230,83962,114,53,868,21458,19,14,4
riau,260,1,0,442424,22,3,11273,92867,75,109,11
jambi,93,5,4,65418,204,111,405,19750,101,9,6
sumatra selatan,85,2,2,72621,133,108,369,17377,0,3,1
bengkulu,38,1,0,5646,11,4,14,2267,2,2,1
lampung,74,11,2,44215,152,311,912,3056,5,4,1
kepulauan bangka belitung,125,1,0,55366,5,37,104,613,0,0,0
kepulauan riau,105,48,12,13461,164,25,167,2873,1,1,0
dki jakarta,17,2,4,1876,38,4,2,382,0,0,0
jawa barat,846,36,110,2421170,664,1851,6997,116174,163,172,18
jawa tengah,629,24,79,1824766,239,438,2393,100172,24,22,2
di yogyakarta,177,1,27,46783,12,81,801,119,17,17,1
jawa timur,136,9,17,202462,329,203,3367,38058,15,14,8
banten,62,3,6,141627,77,173,291,6239,3,3,1
bali,67,8,11,29222,25,35,14,1682,2,10,1
ntb,156,8,7,781933,132,212,307,16877,22,4,2
ntt,113,18,9,61971,524,341,704,2160,46,14,7
kalimantan barat,116,7,13,206708,3,62,87,44191,1,0,0
kalimantan tengah,202,0,40,270918,39,129,14,54761,1,0,0
kalimantan selatan,539,0,0,362581,385,127,1183,82820,0,0,0
kalimantan timur,252,1,0,52512,32,64,14,10534,0,1,0
kalimantan utara,75,1,3,111091,2,13,14,21708,11,4,3
sulawesi utara,32,11,5,45629,281,186,879,4577,0,0,0
sulawesi tengah,105,11,5,52876,26,76,487,3656,33,33,7
sulawesi selatan,267,3,6,280528,439,387,1629,12536,22,9,4
sulawesi tenggara,12,2,6,78756,3,1,0,1198,0,0,0
gorontalo,53,0,0,83554,80,1,270,6136,3,3,0
sulawesi barat,60,5,1,32749,36,105,235,5061,1,1,1
maluku,49,0,18,16182,79,356,515,1091,42,23,12
maluku utara,43,1,0,9187,20,21,9,2081,1,0,0
papua,11,4,6,57901,254,117,138,419,53,11,11
papua barat,9,0,0,175,1,1,33,0,1,0,0
papua selatan,2,0,0,1396,0,0,0,436,0,0,0
papua tengah,1,6,0,7500,0,0,0,0,0,0,0
papua pegunungan,2,3,27,363,0,0,44,0,0,3,0
papua barat daya,5,0,0,928,5,0,7,163,0,0,0
